Depth,Lith_geo,CALI,DRHO,NPHI,RHOB,GR,DTC,DTE,RDEP,SP,RSHA,Rxo,RMED
3668.594238,2,8.234000206,-0.012,0.205079988,2.319999933,27.66200066,83.33740997,24687704,0.643000007,20.87400055,2.153000116,3.538000107,2.153000116
3668.746582,2,8.25,-0.016000001,0.197750002,2.334000111,25.88400078,81.97634888,24277584,0.688000023,20.27199936,2.345000029,3.436000109,2.345000029
3668.898926,2,8.241999626,-0.01,0.190429986,2.382999897,27.55400085,81.23744202,24039090,0.750999987,19.39800072,2.562999964,3.507999897,2.562999964
3669.05127,2,8.218999863,-0.005,0.182129994,2.426000118,27.54700089,80.364151,23773824,0.839999974,19.67399979,2.798000097,4.815999985,2.798000097
3669.203613,2,8.25,-0.006,0.170410007,2.431999922,27.8579998,80.14579773,23713674,0.957000017,19.84600067,2.980000019,4.480999947,2.980000019
3669.356201,2,8.203000069,-0.003,0.158199996,2.434000015,28.7159996,79.02097321,23278212,1.085999966,20.0340004,3.128000021,4.975999832,3.128000021
3669.508545,2,8.227000237,-0.008,0.151859999,2.427999973,32.17599869,77.30477142,22824776,1.213000059,20.1590004,3.555000067,5.903999806,3.555000067
3669.660889,16,8.319999695,-0.003,0.149900004,2.447000027,29.74600029,75.08831024,22130454,1.302999973,20.50099945,4.643000126,9.777000427,4.643000126
3669.813232,16,8.265999794,-0.003,0.145510003,2.482000113,28.03899956,72.54115295,21357512,1.343999982,20.47200012,6.342999935,12.90999985,6.342999935
3669.96582,16,8.288999558,0.003,0.141110003,2.487999916,26.30500031,73.04083252,21530306,1.347000003,20.1609993,6.988999844,10.07400036,6.988999844
3670.118164,2,8.328000069,0.015,0.143549994,2.5,28.80400085,75.04896545,22174686,1.33099997,19.28700066,5.781000137,9.501999855,5.781000137
3670.270508,2,8.312999725,0.008,0.155760005,2.457000017,30.51000023,78.80046082,23316858,1.287999988,20.28100014,4.277999878,7.385000229,4.277999878
3670.422852,2,8.25,-0.003,0.171879992,2.421999931,29.24099922,79.68447876,23591130,1.207999945,19.89599991,3.573999882,5.510000229,3.573999882
3670.57544,2,8.366999626,-0.018999999,0.174799994,2.375,29.26499939,79.96964264,23665992,1.111999989,20.2670002,3.384000063,4.662000179,3.384000063
3670.727783,2,8.265999794,-0.014,0.174319997,2.377000094,25.87000084,80.54524994,23806084,1.023000002,21.26499939,3.334000111,4.883999825,3.334000111
3670.880127,2,8.187999725,-0.012,0.162599996,2.382999897,27.64999962,79.99295807,23667232,0.958999991,20.39599991,3.226999998,3.890000105,3.226999998
3671.032471,2,8.187999725,-0.009,0.161620006,2.387000084,28.18499947,80.81782532,23828910,0.930999994,19.78700066,3.04399991,3.65899992,3.04399991
3671.184815,2,8.187999725,-0.016000001,0.166019991,2.377000094,29.04299927,80.36100769,23774018,0.936999977,19.59799957,2.88199997,3.691999912,2.88199997
3671.337402,2,8.156000137,-0.011,0.168950006,2.392999888,25.5890007,79.30076599,23446014,0.957000017,20.59399986,2.802999973,3.394999981,2.802999973
3671.489746,2,8.156000137,-0.008,0.176760003,2.395999908,25.43799973,80.35338593,23767640,1.001000047,21.46899986,2.845999956,3.710999966,2.845999956
3671.64209,2,8.163999558,-0.007,0.169430003,2.391000032,26.66600037,79.69520569,23579076,1.049000025,20.85000038,3.138999939,4.511000156,3.138999939
